Año;Tipo.UI;Cuadrante;Partida.Institucional;Institución;Programa.pptario;Clasificador;Partida.de.gastos;Programa/.Instrumento/.Concurso;Nombre.de.la.Iniciativa;Código;OSE.(NABS).Categoría;OSE.(NABS).Subcategoría;SE;Región;EG;ECC;MF;GBARD.M$.corriente;GBARD
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Implementación de un sistema de conducción alternativo para uva de mesa que permita producir fruta de buena calidad y condición a un menor costo productivo, mejorando la competitividad de la empresa en el sector.;PI-3119;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;5428,702269;5428,702269
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;NEW TECH COPPER PROYECTOS I+D+I 2018;PI-3121;8. Agricultura;;Empresas;Valparaíso;sin EG;sin ECC;Asignación directa;14983,44133;15567,79554
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;NEW TECH COPPER PROYECTOS I+D+I 2018;PI-3121;8. Agricultura;;Empresas;Valparaíso;sin EG;sin ECC;Asignación directa;9817,196074;9817,196074
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Desarrollo de nuevas variedades vegetales de alto potencial económico a través de técnicas biotecnológicas no recombinantes para diversificar la base productiva de la agricultura nacional.;PI-3122;8. Agricultura;;Empresas;Maule;sin EG;sin ECC;Asignación directa;45914,9502;47705,63325
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Desarrollo de nuevas variedades vegetales de alto potencial económico a través de técnicas biotecnológicas no recombinantes para diversificar la base productiva de la agricultura nacional.;PI-3122;8. Agricultura;;Empresas;Maule;sin EG;sin ECC;Asignación directa;43794,54037;43794,54037
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;PROYECTOS SOFTYS 2019;PI-3125;8. Agricultura;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;1095,069679;1137,777396
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Melón Hormigones Proyectos I+D 2019;PI-3130;4. Transporte, telecomunicaciones y otras infraestructuras;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;2157,982894;2242,144226
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;BiosIntelligence;PI-3133;7. Sanidad;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;38826,07127;40340,28805
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;BiosIntelligence;PI-3133;7. Sanidad;;Empresas;Metropolitana de Stgo.;sin EG;sin ECC;Asignación directa;74716,73293;74716,73293
01-01-2022;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Sealand 2019 Proyectos I+D;PI-3138;8. Agricultura;;Empresas;Los Lagos;sin EG;con ECC;Asignación directa;12808,02849;13307,5416
01-01-2023;Ley I+D;I. Financiamiento público nacional de proyectos de I+D doméstica;00 Ley de I+D;Ley de Incentivo I+D;n.a.;-;Impacto Fiscal de la Ley de incentivo Tributario a I + D;Ley de Incentivo Tributario;Sealand 2019 Proyectos I+D;PI-3138;8. Agricultura;;Empresas;Los Lagos;sin EG;con ECC;Asignación directa;69107,96449;69107,96449
